url,titulo,compañia,descripcion,categoria,sub-categoria,educacion
https://www.occ.com.mx//empleo/oferta/17690614-ingeniero-en-conformidad-de-materiales/?ai=false&ais=&origin=unknown&page=2&rank=1&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%231-premium&sessionid=&showseo=true&type=3&userid=&utm_channel=premium&utm_origin=web&uuid=84ac0c66-7ac1-423f-8037-a33adc9dfb7a&widgetCompany=false&geolocation=false,,,"Acerca de la empresaSensience es un fabricante líder mundial de componentes de detección, control y sellado de alta ingeniería.   Proporcionamos protección de misión crítica y datos valiosos para una amplia gama de sistemas, como electrodomésticos, calefacción, aire acondicionado, unidades de refrigeración, equipos de procesos industriales, vehículos de motor y aeroespacial. Contamos con más de 4.000 empleados en todo el mundo repartidos en 10 plantas de fabricación dedicadas a mantener la seguridad de las personas y sus hogares.Sensience aporta un historial de más de 75 años de innovación, calidad, conocimientos especializados, un enfoque altamente colaborativo y un compromiso con el crecimiento, trabajando junto a nuestros clientes como socios valiosos, ayudándoles a cumplir sus objetivos críticos. Recientemente nos hemos restablecido como empresa independiente y buscamos candidatos con mentalidad emprendedora para ayudar a nuestra empresa a crecer. En Sensience ofrecemos un horario de trabajo flexible con la posibilidad de trabajar desde casa hasta dos días por semana.Estamos buscando un PUESTO para nuestra planta ubicada en Ciudad Chihuahua, Chihuahua. Ingeniero en Conformidad de Materiales.Requisitos del puestoBuscamos un Ingeniero de conformidad de materiales que sea responsable de ejecutar las actividades relacionadas con la recopilación y el mantenimiento de registros de conformidad de materiales de piezas y productos de nuestros proveedores. Para después, utilizar los datos del proveedor para apoyar las solicitudes de los clientes de información sobre el cumplimiento de materiales en nuestros productos terminados en apoyo de los productos existentes y nuevos.        · Licenciatura en Ingeniería o Ciencia de los Materiales·        Al menos 2 años en un puesto técnico·        Habilidades de comunicación oral y escrita sólidas y articuladas·        Capacidad de organización y planificación·        Deseo de obtener resultados·        Capacidad de análisis/juicio y toma de decisiones.Responsabilidades del puesto·        Llevar a cabo un seguimiento continuo de los proveedores en relación con la legislación y las sustancias necesarias.-         Revisar la exactitud de las presentaciones en comparación con los planos de ingeniería, las especificaciones de los materiales y los conocimientos básicos de los materiales.·        Gestionar los datos de los proveedores en la base de datos de conformidad de materiales de Toxnot-         Presentar solicitudes de proveedores según sea necesario-         Revisar la exactitud de los datos ·        Coordinarse con los gestores de materias primas en el caso de proveedores que no respondan. ·        Coordinar con los ingenieros de ventas y otras personas las solicitudes de los clientes introducidas en el sistema de seguimiento de materiales restringidos.·        Procesar solicitudes de cumplimiento de normas-         Analizar la lista de materiales para determinar el cumplimiento de las legislaciones REACH, RoHS, Conflict Minerals y Proposition 65. -         Rellenar las plantillas de conformidad estándar basándose en los resultados del análisis.·        Solicitudes específicas de clientes-         Procesar las solicitudes específicas de los clientes (no legislativas) según sea necesario.-         Hacer recomendaciones sobre la respuesta a las solicitudes específicas de los clientes sobre la base de las presentaciones anteriores.-         Revisar los planos de ingeniería y las especificaciones de materiales para elaborar Declaraciones de Materiales Completas según sea necesario.Otro: ·        Ayudar a analizar las nuevas incorporaciones a la legislación sobre materiales y cómo afectarán los cambios a los productos Sensience.Coordinarse con el ingeniero sénior de listas de materiales y componentes, según sea necesarioPrestaciones y beneficios adicionalesOfrecemos:Plan de CarreraEstabilidad LaboralSueldo competitivo al MercadoPrestaciones superiores a las que marca la Ley.Seguro de vidaGastos medicos mayoresFondo de ahorroVales de despensa.",Logística - Transporte - Distribución - Almacén,Abastecimiento,Universitario titulado
https://www.occ.com.mx//empleo/oferta/17685230-analista-de-costos-y-activos-fijos/?ai=false&ais=&origin=unknown&page=2&rank=2&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%232-premium&sessionid=&showseo=true&type=3&userid=&utm_channel=premium&utm_origin=web&uuid=84ac0c66-7ac1-423f-8037-a33adc9dfb7a&widgetCompany=false&geolocation=false,,,"ANALISTA DE COSTOS Y ACTIVOS FIJOSSensience es un fabricante líder mundial de componentes de detección, control y sellado de alta ingeniería.Proporcionamos protección de misión crítica y datos valiosos para una amplia gama de sistemas, como electrodomésticos, calefacción, aire acondicionado, unidades de refrigeración, equipos de procesos industriales, vehículos de motor y aeroespacial.Contamos con más de 4.000 empleados en todo el mundo repartidos en 10 plantas de fabricación dedicadas a mantener la seguridad de las personas y sus hogares.Sensience aporta un historial de más de 75 años de innovación, calidad, conocimientos especializados, un enfoque altamente colaborativo y un compromiso con el crecimiento, trabajando junto a nuestros clientes como socios valiosos, ayudándoles a cumplir sus objetivos críticos. Recientemente nos hemos restablecido como empresa independiente y buscamos candidatos con mentalidad emprendedora para ayudar a nuestra empresa a crecer.Los valores que definen a Sensience:-Los clientes definen nuestro éxito-Pensamos fuera de la caja-Hacemos lo que decimos, y decimos lo que hacemos.-La diversidad, la equidad y la inclusión son fundamentales para el éxito de nuestro equipo-Creamos un entorno en el que todos los empleados pueden alcanzar su máximo potencial-Invertimos en nuestra genteEstamos buscando un PUESTO para nuestra planta ubicada en Ciudad Delicias, Chihuahua. Analista de Costos y Activos Fijos?RESPONSABILIDADES DEL PUESTO ?El analista de costos deberá ser capaz de analizar datos financieros y operativos con precisión y rapidez, identificando áreas de mejora y eficiencia.Deberá colaborar con diferentes departamentos y equipos, por lo que es esencial ser un buen compañero de trabajo y comunicarte efectivamente.Estará enfocado en mejorar la eficiencia de costos de la empresa, contribuyendo al crecimiento y la rentabilidad.Determinación de las tarifas estándar de mano de obra, gastos indirectos de planta y de material y su incorporación al sistema Oracle. Preparación, análisis, revisión, coordinación e implementación del Roll Up Anual.Participación en la toma física del inventario anual mediante la liberación de áreas, incorporación del resultado al mayor y generación de reportes antes, durante y después del inventario tales como Reporte de Confiabilidad en el Inventario Físico, Reporte de Ajustes al Inventario, Listado Total de Marbetes, Inventario Congelado (antes de) e Inventario Ajustado.Elaboración, captura y posteo de pólizas relacionadas con Costos, Ventas e Inventarios. Así como gastos de almacenaje.Elaboración de póliza provisional de Recibos de material en tránsito al cierre de mes.Análisis de las variaciones estándar en las principales cuentas: (PPV's, expense ítems, job close variances, absorciones de mano de obra y gastos indirectos).Cierre de Ordenes de producción en el sistema.REQUISITOS:        Escolaridad CP o LAF        Experiencia previa en la Industria maquiladora con un profundo conocimiento de sus operaciones y procesos.        Hablar español e inglés con fluidez.        Dominio de costos en empresa de manufactura        Manejo de ERP: SAP, Oracle, JDE o similar        Administración de activos fijos: Registro contable, fiscal e interacción área de aduanas.        La precisión es fundamental en esta función, por lo que debes demostrar una atención excepcional al detalle en todos los aspectos de tu trabajo.PRESTACIONES        Gastos Médicos Mayores        Seguro de Vida        Sueldo competitivo al Mercado        Estabilidad Laboral        Plan de Carrera        Prestaciones superiores a las que marca la Ley.        Fondo de ahorro        Vales de despensa.?",Contabilidad - Finanzas,Contabilidad de costos - Inventario,Universitario titulado
https://www.occ.com.mx//empleo/oferta/17691577-supervisor-de-obra-electrica/?ai=false&ais=&origin=unknown&page=2&rank=1&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%231&sessionid=&showseo=true&type=1&userid=&utm_channel=serp&utm_origin=web&uuid=84ac0c66-7ac1-423f-8037-a33adc9dfb7a&widgetCompany=false&geolocation=false,,,"Acerca de la empresaSomos una empresa joven en la que nuestros colaboradores son una pieza clave que busca la satisfacción de nuestros clientes dando soluciones óptimas y garantizando la calidad de nuestros servicios, asegurando superar las expectativas del mercado con presencia a nivel nacional.Requisitos del puesto· Escolaridad: Ing. Electromecánica, Eléctrica, Civil, Arquitectura· Mínimo 4 años de experiencia en supervision de obras de media y alta tensión. Subestaciones de potencia (deseable).· Disponibilidad para viajar en el estado de Chihuahua.· Licencia de conducir· Conocimiento de excel· Conocimiento autocad· Manejo de office· Interpretación de diagramas eléctricosResponsabilidades del puesto· Ejecucion de obra· Supervision de obra de media y alta tensión· Supervision de obra de subestaciones de potencia· Entregas de obra· Administración de activos· Administración de personal· Seguridad e HigienePrestaciones y beneficios adicionales· Pago semanal.· Vales de despensa.· Uniforme.· Prestaciones conforme a la ley.",Ingeniería,Ingeniería eléctrica,Universitario sin titulo
https://www.occ.com.mx//empleo/oferta/17691565-gerente-de-construccion/?ai=false&ais=&origin=unknown&page=2&rank=2&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%232&sessionid=&showseo=true&type=1&userid=&utm_channel=serp&utm_origin=web&uuid=84ac0c66-7ac1-423f-8037-a33adc9dfb7a&widgetCompany=false&geolocation=false,,,"Acerca de la empresaSomos una empresa dedicada a instalaciones eléctricas en alta y media tensión., en la que nuestros colaboradores son una pieza clave que busca la satisfacción de nuestros clientes dando soluciones óptimas y garantizando la calidad de nuestros servicios.Requisitos del puestoEscolaridad: Ing. eléctrico, electromecánico, mecánico, o afín.Experiencia mínima de 10 años en obra eléctrica de alta tensión.Experiencia mínima de 3 años en puesto similar.Conocimientos en subestaciones de potencia y líneas de alta tensión.Conocimientos básicos de obra civil.Manejo de Office, Sisproter, Autocad, Opus.Manejo de bitácora electrónica de obra.Disponibilidad para viajar.Preferente Radicar en Chihuahua.Responsabilidades del puestoDirigir, coordinar y supervisar al personal coordinador y supervisor.Mantener la plantilla de personal autorizada para obras.Firma de contratos, convenios con clientes.Manejo y control de viáticos en obra.Control y administración del activo fijo en obra.Reportes de avances a dirección general.Monitorear resultados del portafolio de proyectos e informar de su estatus.Administración y manejo de las estimaciones de obra.Vigilar el avance y presupuesto establecido para cada proyecto.Vigilar el correcto y eficiente suministro de insumos y materiales a las obras.Dirigir para que se realicen las pruebas necesarias y en su caso preventivas para la correcta instalación del proyecto.Verificar el cumplimiento de las políticas de seguridad e higieneAprobar acciones correctivas para el cumplimiento de la normatividad en materia de seguridad e higiene.Prestaciones y beneficios adicionales·        Prestaciones de ley.                                   * Sueldo semanal.·        Prestaciones superiores de ley.              * Vales de despensa.·        Fondo de ahorro.                                          *Estabilidad laboral.·        Uniformes.·        Bonos por desempeño.",Construcción - Inmobiliaria - Arquitectura,Instalaciones e infraestructura,Universitario titulado
https://www.occ.com.mx//empleo/oferta/17691506-retail-service-agente-fedex/?ai=false&ais=&origin=unknown&page=2&rank=3&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%233-premium&sessionid=&showseo=true&type=3&userid=&utm_channel=serp&utm_origin=web&uuid=84ac0c66-7ac1-423f-8037-a33adc9dfb7a&widgetCompany=false&geolocation=false,,,"-Buen conocimiento de la operación relativa a ventas, administración, carga, descarga, almacenaje yentrega de mercancías en general.-Habilidad para identificar, atender y resolver apropiadamente los requerimientos de sus clientes-Demuestra habilidad técnica para la recolección y el embalaje de mercancías en general con un buenconocimiento de los métodos de trabajo establecidos, apropiados y seguros.-Habilidades sólidas en el uso de tecnología como escáner / impresora / intranet / basculas de peso ydimensión/ cajas registradoras-Muestra sólido conocimiento en el manejo de valores en especie y efectivo.",Logística - Transporte - Distribución - Almacén,Almacén - Inventario,Bachillerato
https://www.occ.com.mx//empleo/oferta/17691456-asesor-de-servicio-termina-el-ano-con-trabajo/?ai=false&ais=&origin=unknown&page=2&rank=4&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%234&sessionid=&showseo=true&type=0&userid=&utm_channel=serp&utm_origin=web&uuid=84ac0c66-7ac1-423f-8037-a33adc9dfb7a&widgetCompany=false&geolocation=false,,,"Por crecimiento buscamos Asesores de Servicios... OFRECEMOS: Sueldo base Comisiones (Sin tope) Bonos por cumplimientos de objetivos Prestaciones superiores a las de Ley Fondo de ahorro Trabajo de Lunes a Viernes 8 am a 6:30 pm  FUNCIONES: Contactar a clientes Orientado a logro de metas Experiencia en manejo de objeciones y habilidad de negociación  REQUISITOS: Autodirigido Facilidad de palabra Experiencia mínima de 1 año en atención al cliente, retención, gestor de cobranza, servicio al cliente, ventas. Con disponibilidad para salir a visitar cliente (indispensable)   Si te gusta relacionarte con la gente, atender al cliente y deseas una estabilidad y desarrollo en una empresa, esta es tu oportunidad ¡POSTULATE POR ESTE MEDIO! y nos comunicaremos contigo a la brevedad",Ventas,Ventas en general,Bachillerato
https://www.occ.com.mx//empleo/oferta/17691431-auditor-operativo-en-fibra-optica-cd-juarez/?ai=false&ais=&origin=unknown&page=2&rank=5&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%235&sessionid=&showseo=true&type=0&userid=&utm_channel=serp&utm_origin=web&uuid=84ac0c66-7ac1-423f-8037-a33adc9dfb7a&widgetCompany=false&geolocation=false,,,"GRUPO SALINASEs un conjunto de empresas dinámicas, de rápido crecimiento y a la vanguardia tecnológica, con enfoque en la creación de valor económico, social y ambiental. Al llevar bienestar a todos los niveles de la sociedad, Grupo Salinas fomenta el desarrollo de los países en los que opera.Intégrate con nosotros como:AUDITORObjetivo principal del puesto:Es el principal responsable en la ejecución de auditorías de calidad especializadas en Telecomunicaciones y fibra óptica, emitiendo informes ejecutivos e identificar riesgos operativos. Funciones:Ejecución de auditorias en campo y administrativasGenera propuestas de mejorarealizar y presentar informes ejecutivos de resultadosAlerta cierres de puerta (identificar riesgos latentes)Validacion de planta interna y externaAnalisis de Base de Datos (excel intermedio)Requisitos:Formación: Licenciatura en Contabilidad, Administración o a fin.Edad: 25 a 33 añosExperiencia: de 2 años en Retail y AuditoriaConocimiento de telecomunicacionesDías de trabajo y horario: De lunes a viernes de 9:00 a 19:00 hrs. (disponibilidad de horario).Zona de trabajo: Cd. Juárez (indispensable vivir en la zona)Disponibilidad para viajar periodicamenteOfrecemos:Sueldo competitivo.Prestaciones de ley.Seguro de vida.Servicios de salud.Servicios de bienestar.Servicios bancarios exclusivos.Beneficios corporativos.Descuentos de empleado.En Grupo Salinas respetamos la dignidad y diversidad de las personas.*EN GRUPO SALINAS NO COBRAMOS POR NINGÚN PROCESO DE RECLUTAMIENTO*",Tecnologías de la Información - Sistemas,Redes - Telecomunicaciones,Universitario titulado
https://www.occ.com.mx//empleo/oferta/17691278-supervisor-de-servicio-valuacion-chihuahua-/?ai=false&ais=&origin=unknown&page=2&rank=6&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%236&sessionid=&showseo=true&type=0&userid=&utm_channel=serp&utm_origin=web&uuid=84ac0c66-7ac1-423f-8037-a33adc9dfb7a&widgetCompany=false&geolocation=false,,,"¿Te gustaría pertenecer a la compañía líder en seguro automotriz?¡Buscamos Talento!SUPERVISOR DE SERVICIOQuálitas aseguramos Autos, Cuidamos PersonasPropósito principal:Revisión de los procesos de reparación establecidos por la compañía en los centros de reparación en convenio con Qualitas, brindando seguimiento al cliente en los casos donde se presente alguna desviación en la operación, con el fin de garantizar la entrega de unidades ingresadas a los distintos centros de reparación.Requisitos:Escolaridad: Ingeniería mecánica, industrial, administración, o afín (concluida o trunca)2 años de experiencia como Valuador y Jefe de taller/asesor de servicioResponsabilidades:-Realizar visitas periódicas a los centros de reparación de autos y motocicletas, contando con una entidad de la empresa en estos proveedores, realizando auditorías a las unidades que estén en proceso de reparación, documentando cualquier desviación encontrada para retroalimentación y mejora para supervisar que se cumplan con los procesos establecidos por la compañía.-Revisión de las unidades en proceso de reparación, buscando que los estándares de calidad establecidos por la compañía para la entrega de las unidades a los clientes.-Atencion a las desviaciones que del procesó de reparación que puedan modificar la fecha promesa de entrega de la unidad para notificar puntualmente al cliente por vía telefónica, correo electrónico o de manera presencial además de establecer una nueva fecha de entrega.-Atencion a las inquietudes de los clientes, a fin de satisfacer las necesidades o dudas que pudieran tener referente al proceso de reparación en el que se encuentre su unidad.Ofrecemos:+ Sueldo base $18,000 mensuales brutos + bonos en base a resultados + Prestaciones de Ley y superiores (30 días de aguinaldo, SV, SGMM PTU, convenios con gimnasios, becas escolares, universidad interna, entre otras)+ 100% nomina+ Contratación directa con la empresa+ Atención psicológica para colaboradores+ Plan de carreraHorario: lunes a viernes de 08:30am –6:30 pmZona de trabajo: Chihuahua, Chihuahua.En nuestra empresa estamos comprometidos a brindar igualdad de oportunidades, respetando la diversidad de las personas, somos incluyentes y valoramos el talento“En nuestra empresa no realiza pruebas de embarazo ni VIH”",Seguros y reaseguros,Siniestros,Universitario titulado
https://www.occ.com.mx//empleo/oferta/17691233-gerente-comercial-de-ventas/?ai=false&ais=&origin=unknown&page=2&rank=7&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%237&sessionid=&showseo=true&type=0&userid=&utm_channel=serp&utm_origin=web&uuid=84ac0c66-7ac1-423f-8037-a33adc9dfb7a&widgetCompany=false&geolocation=false,,,"Experiencia y aptitudes deseadas- Ing. Industrial, Ing. Civil, Arquitecto y/o carrera afin- Sexo: Indistinto- Edad mínima: 33 años- Dominio de idioma Inglés- Mínimo de 5 años de experiencia en promoción y venta de servicios de ingeniería y construcción (Preferentemente)- Excelente manejo de relaciones publicas- Conocimiento sobre construcción de plantas industriales- Conocimiento delsector industrial y del medio inmobiliario industrial- Facilidad de trato con la gente y excelente relaciones interpersonales- Habilidadpara las ventas- Autodirigido- Liderazgo-Multilingüe (95% Ingles) y alguno otro idioma alterno- Conocimiento de certificaciones LEED para edificios- Conocimiento de metodologías PMP (Project Management Professional)- Enfocado a resultadosInteresados favor de enviar curriculum vía mail a los datos del contacto.",Ventas,Ventas inmobiliarias,Universitario titulado
https://www.occ.com.mx//empleo/oferta/17691230-supervisor-de-servicio-valuacion-juarez-chihuahua-/?ai=false&ais=&origin=unknown&page=2&rank=8&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%238&sessionid=&showseo=true&type=0&userid=&utm_channel=serp&utm_origin=web&uuid=84ac0c66-7ac1-423f-8037-a33adc9dfb7a&widgetCompany=false&geolocation=false,,,"¿Te gustaría pertenecer a la compañía líder en seguro automotriz?¡Buscamos Talento!SUPERVISOR DE SERVICIOQuálitas aseguramos Autos, Cuidamos PersonasPropósito principal:Revisión de los procesos de reparación establecidos por la compañía en los centros de reparación en convenio con Qualitas, brindando seguimiento al cliente en los casos donde se presente alguna desviación en la operación, con el fin de garantizar la entrega de unidades ingresadas a los distintos centros de reparación.Requisitos:Escolaridad: Ingeniería mecánica, industrial, administración, o afín (concluida o trunca)2 años de experiencia como Valuador y Jefe de taller/asesor de servicioResponsabilidades:-Realizar visitas periódicas a los centros de reparación de autos y motocicletas, contando con una entidad de la empresa en estos proveedores, realizando auditorías a las unidades que estén en proceso de reparación, documentando cualquier desviación encontrada para retroalimentación y mejora para supervisar que se cumplan con los procesos establecidos por la compañía.-Revisión de las unidades en proceso de reparación, buscando que los estándares de calidad establecidos por la compañía para la entrega de las unidades a los clientes.-Atencion a las desviaciones que del procesó de reparación que puedan modificar la fecha promesa de entrega de la unidad para notificar puntualmente al cliente por vía telefónica, correo electrónico o de manera presencial además de establecer una nueva fecha de entrega.-Atencion a las inquietudes de los clientes, a fin de satisfacer las necesidades o dudas que pudieran tener referente al proceso de reparación en el que se encuentre su unidad.Ofrecemos:+ Sueldo base $18,000 mensuales brutos + bonos en base a resultados + Prestaciones de Ley y superiores (30 días de aguinaldo, SV, SGMM PTU, convenios con gimnasios, becas escolares, universidad interna, entre otras)+ 100% nomina+ Contratación directa con la empresa+ Atención psicológica para colaboradores+ Plan de carreraHorario: lunes a viernes de 08:30am –6:30 pmZona de trabajo: Juárez, Chihuahua.En nuestra empresa estamos comprometidos a brindar igualdad de oportunidades, respetando la diversidad de las personas, somos incluyentes y valoramos el talento",Ingeniería,Ingeniería automotriz,Universitario titulado
