url,titulo,compañia,descripcion,categoria,sub-categoria,educacion
https://www.occ.com.mx//empleo/oferta/17727904-ventas-chuhuahua/?ai=false&ais=&origin=unknown&page=2&rank=1&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%231-premium&sessionid=&showseo=true&type=3&userid=&utm_channel=premium&utm_origin=web&uuid=868d503a-cf2c-40a1-baf4-37ce0dbaab51&widgetCompany=false&geolocation=false,,,"Somos una empresa Mexicana dedicada a la comercialización y distribución de suspensiones automotrices para equipo pesado. Contamos con 30 sucursales dentro de la República Mexicana y un gran equipo de colaboradores.¿Te gustaría ser parte de este gran equipo?Nos encontramos en la búsqueda de: Asesor comercial¿Qué harás?*Cumplir con cuota de ventas y promoción de líneas clave*Manejo de cartera, captación y desarrollo de nuevos clientes*Seguimiento a órdenes de ventas y embarques*Garantizar el indicador de cobranza requerido para su cartera*Utilizar en tiempo y forma el CRMBeneficios que tenemos para ti:• Salario base competitivo, de acuerdo a experiencia.• Excelente esquema de comisiones  • Bono de capacitación • Prestaciones de ley (IMSS, Vacaciones, Aguinaldo, Prima Vacacional)• Vales de despensa • Contratación directa• Buen ambiente laboral ¿Qué buscamos?Experiencia mínima de 1 año Licencia tipo A vigente Ubicación: Complejo industrial de Chihuahua.¡Ven y forma parte de nuestro equipo de trabajo! ",Ventas,Ventas de campo,Universitario sin titulo
https://www.occ.com.mx//empleo/oferta/17727272-gerente-administrativo/?ai=false&ais=&origin=unknown&page=2&rank=2&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%232-premium&sessionid=&showseo=true&type=3&userid=&utm_channel=premium&utm_origin=web&uuid=868d503a-cf2c-40a1-baf4-37ce0dbaab51&widgetCompany=false&geolocation=false,,,"El Rol que funge es supervisar las operaciones diarias de la empresa, gestión del personal, eficiencia operativa y asegurar el cumplimiento de las metas departamentales establecidasRequisitos:Dominar el idioma inglesExperiencia laboral en puestos similar mínimo de 5 añosCarrera a fin (deseable que tenga amplios conocimiento en sistemas informáticos)Sexo indistintoHabilidades requeridas para el puesto:Dominio de sistema Net suite (Deseable)Planificación estratégicaSolida experiencia en procesos administrativos y sistemas informáticosCapacidad de análisisCapacidad de liderazgo y trabajar en equipoCapacidad de respuesta ágil a desafíos operativosSupervisión de personalCapacidad de análisis y definición de KPI""s",Administrativo,Administración,Universitario titulado
https://www.occ.com.mx//empleo/oferta/17731887-director-de-relacionamiento-profesional/?ai=false&ais=&origin=unknown&page=2&rank=1&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%231&sessionid=&showseo=true&type=0&userid=&utm_channel=serp&utm_origin=web&uuid=868d503a-cf2c-40a1-baf4-37ce0dbaab51&widgetCompany=false&geolocation=false,,,"Siendo Director de Relacionamiento Profesional sumarás, como parte de la Vicerrectoría Campus en Desarrollo y Expansión, a guiar en las distintas etapas de vida a millones de aprendedores y aprendedoras para incrementar su bienestar, éxito profesional e impacto positivo en la sociedad. Te enfocarás en alcanzar este objetivo a través de Asegurar la alta calidad académica del campus que ayudan a la formación de personas con propósito de vida y las competencias para lograrlo, además de asegurar una exitosa incorporación de los alumnos al mercado laboral.Tus principales retos serán:Alineacio´n y seguimiento del desarrollo de competencias de los programas de profesional, para asegurar que los estudiantes desarrollen desplazamientos en cada una de ellas.Planear y organizar los eventos, talleres, conferencias y visitas de acuerdo al modelo institucional siendo atractivos para asegurar la participacio´n de alumnos en concursos, congresos y actividades de impacto para su experiencia acade´mica.Asegurar el uso adecuado de las plataformas educativas y habilitadores necesarios para asegurar una experiencia memorable en el estudiante en cada uno de sus cursos y experiencias acade´micas.Si tienes formación en profesional y maestría, con título y cédula y estudios en la educación (diseño instruccional, administración educativa, etc.), has tenido la experiencia de trabajar en el ámbito de la Educación y en el manejo de colaboradores y entre tus habilidades se encuentran la inteligencia emocional, negociación, el manejo de Excel avanzado, el idioma inglés avanzado y el manejo de herramientas de diseño. ¡Te estamos buscando, postúlate ya!Ubicación: Chihuahua, Chihuahua",Educación,Servicios estudiantiles,Posgrado
https://www.occ.com.mx//empleo/oferta/17731824-tecnico-en-mantenimiento/?ai=false&ais=&origin=unknown&page=2&rank=2&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%232&sessionid=&showseo=true&type=0&userid=&utm_channel=serp&utm_origin=web&uuid=868d503a-cf2c-40a1-baf4-37ce0dbaab51&widgetCompany=false&geolocation=false,,,"Experiencia Laboral:Ingeniería electrónica, o a fin.2 años como mecánico en mantenimientoExperiencia en automatizaciónConocimiento de sensores, relevador y contractor.Disponibilidad de rotar turnos.Ofrecemos:Prestaciones superiores a las de la leyFondo de AhorroVales de despensaBono de productividadComedor.",Manufactura - Producción - Operación,Mantenimiento electrónico,Universitario titulado
https://www.occ.com.mx//empleo/oferta/17731666-apoyo-juridico/?ai=false&ais=&origin=unknown&page=2&rank=3&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%233&sessionid=&showseo=true&type=0&userid=&utm_channel=serp&utm_origin=web&uuid=868d503a-cf2c-40a1-baf4-37ce0dbaab51&widgetCompany=false&geolocation=false,,,Principales Actividades: Analizar y garantizar el cumplimiento de políticas establecidas por la empresa en los lotes comerciales .Administrar y resguardar la documentación legal de grupo.Facilitar la realización de las operaciones jurídicas de grupo.Administrar los fideicomisos de las reservas territoriales del grupo.Dar asesoría y retroalimentar a los distintos departamentos que lo requieran.Requisitos:Lic. En DerechoExp. min. 3 años en puesto similarValidación de contratos y documentosRequerimientos legales y TramitologíaControl de escriturasComunicación efectivaManejo de OfficeProactivoOfrecemos:Sueldo CompetitivoPrestaciones superiores a las de leyExcelente ambiente laboralDesarrollo y crecimiento laboralProgramas de capacitación ,Derecho y leyes,Derecho mercantil,Universitario titulado
https://www.occ.com.mx//empleo/oferta/17731659-representante-tecnico-comercial/?ai=false&ais=&origin=unknown&page=2&rank=4&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%234&sessionid=&showseo=true&type=1&userid=&utm_channel=serp&utm_origin=web&uuid=868d503a-cf2c-40a1-baf4-37ce0dbaab51&widgetCompany=false&geolocation=false,,,"Vacante:Representante técnico-comercial (zona centro-sur y noreste de Chihuahua)Somos una empresa líder en el sector de los  agroquímicos, enfocado en la comercialización de soluciones de alta efectividad en el segmento de la Biorregulacion y Bioestimulacion. Capacidades y habilidades requeridasNegociación, Liderazgo, Iniciativa, facilidad de palabra, proactivo, enfoque a resultados, atención al cliente, trabajo en equipo.Ofrecemos:·        Sueldo competitivo.·        Prestaciones superiores a las de ley.·        Plan de comisiones por alcance de objetivos.·        Herramientas de trabajo: Vehículo, equipo de cómputo y celular.Requisitos:Escolaridad: Ingeniero agrónomo, o carrera a fin.Experiencia de 1-3 años en ventas/ asesoría técnico comercial de agroquímicos.Experiencia en prospección y desarrollo de clientes.Conocimiento de los principales cultivos de la zona de Chihuahua.Disponibilidad para viajar.Contar con licencia vigente.Ubicación de la posición: zona centro-sur y noreste del estado de Chihuahua.Principales Responsabilidades:Establecer y ejecutar las estrategias comerciales de venta en su zona.Elabora el plan anual de ventas de su territorio.Diseñar, proponer e implementar las iniciativas comerciales para el despliegue de marca y penetración de mercado.Revisar el cumplimiento de ventas mensual, a fin de garantizar que se cumpla su plan de ventas.Establecer y garantizar el cumplimiento de las políticas comerciales.Establecimiento y seguimiento de parcelas demostrativas en coordinación con los canales de venta.",Ventas,Ventas de campo,Universitario titulado
https://www.occ.com.mx//empleo/oferta/17731646-ingeniero-de-aseguramiento-de-calidad-de-producto/?ai=false&ais=&origin=unknown&page=2&rank=5&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%235&sessionid=&showseo=true&type=0&userid=&utm_channel=serp&utm_origin=web&uuid=868d503a-cf2c-40a1-baf4-37ce0dbaab51&widgetCompany=false&geolocation=false,,,"Preparación Académica:·      Carrera Profesional de IME, IMA II IQ o afín.·      Inglés 600 puntos Toeic.·      Preferentemente con Maestría.·      Preferentemente Certificado como Auditor de ISO 9001 Experiencia Laboral:·      3 años en sistemas de calidad del producto en empresas de manufactura.·      Conocimiento de Sistemas de Medición, Calibración e Instrumentos de Evaluación·      Manejo y definición de Sistemas de Muestreo, nivel AQL Tablas Military Standard.·      Preferentemente con conocimiento del proceso y productos cerámicos. ·      Lean Manufacturing, PDCA, Kaizen, entre otras metodologías de mejora.·      Responsable de la administración del personal de Calidad.?Principales Funciones y Responsabilidades: ·      Asegurar la conformidad del Producto en planta.·      Administrar y asegurar capacitación a inspectores de calidad en planta.·      Atención a quejas de clientes y servicio ·      Seguimiento a acciones correctivas y preventivas de hallazgos.·      Seguimiento a los sistemas de gestión de la planta a su cargo.Entre otras. ? ",Manufactura - Producción - Operación,Control de Calidad,Posgrado
https://www.occ.com.mx//empleo/oferta/17731500-coordinador-comercial-chihuahua-chihuahua/?ai=false&ais=&origin=unknown&page=2&rank=6&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%236&sessionid=&showseo=true&type=0&userid=&utm_channel=serp&utm_origin=web&uuid=868d503a-cf2c-40a1-baf4-37ce0dbaab51&widgetCompany=false&geolocation=false,,,"Actualmente buscamos el siguiente perfil: COORDINADOR COMERCIAL PERFIL: Escolaridad: Licenciatura trunca o pasantesDisponibilidad para laborar de lunes a viernes de 8:00-6:00Actividades: Reclutamiento, Capacitación de fuerza de ventas. Seguimiento para el cumplimiento de metas comercialesLugar de Trabajo Chihuahua Chihuahua Col. San Felipe Viejo Nuestra oferta salarial: Sueldo base mensual más bonos de productividad. Prestaciones Superiores a la ley:·        15 días de vacaciones + 25% prima vacacional·        30 días de aguinaldo·        Fondo de ahorro (13%)·        Vales de despensa ($1,270 mensual)·        Seguro de vida (40 meses de sueldo)·        Utilidades·        Vale optométrico, descuentos con casas comerciales·        Seguro Social·        Capacitación pagadaInteresados postularse por este medio y en breve te contactáremos para entrevista.",Ventas,Comercial,Universitario sin titulo
https://www.occ.com.mx//empleo/oferta/17731481-training-student-empresarial/?ai=false&ais=&origin=unknown&page=2&rank=7&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%237&sessionid=&showseo=true&type=0&userid=&utm_channel=serp&utm_origin=web&uuid=868d503a-cf2c-40a1-baf4-37ce0dbaab51&widgetCompany=false&geolocation=false,,,"Requisitos:- Licenciatura en curso (último año) o recién egresado en Finanzas, Contaduría, Economía o afín.- Disponibilidad de horario. - Presentación Ejecutiva Actividades:* Revisión de documentos.* Análisis de casos.* Actividades generales del departamento. Ofrecemos: Sueldo base.Prestaciones bancarias (Seguro de Vida, Gastos médicos Mayores, Fondo de Ahorro, vacaciones)Excelente ambiente laboral y calidad de vida.Crecimiento y desarrollo interno.",Contabilidad - Finanzas,Finanzas,Universitario sin titulo
https://www.occ.com.mx//empleo/oferta/17731479-coordinador-comercial-ciudad-juarez/?ai=false&ais=&origin=unknown&page=2&rank=8&returnURL=%2Fempleos%2Fen-chihuahua%2F%3Fpage%3D2%238&sessionid=&showseo=true&type=0&userid=&utm_channel=serp&utm_origin=web&uuid=868d503a-cf2c-40a1-baf4-37ce0dbaab51&widgetCompany=false&geolocation=false,,,"Actualmente buscamos el siguiente perfil: COORDINADOR COMERCIAL PERFIL: Escolaridad: Licenciatura trunca o pasantesDisponibilidad para laborar de lunes a viernes de 8:00-6:00Actividades: Reclutamiento, Capacitación de fuerza de ventas. Seguimiento para el cumplimiento de metas comercialesLugar de Trabajo Ciudad Juárez Chihuahua Nuestra oferta salarial: Sueldo base mensual más bonos de productividad. Prestaciones Superiores a la ley:·        15 días de vacaciones + 25% prima vacacional·        30 días de aguinaldo·        Fondo de ahorro (13%)·        Vales de despensa ($1,270 mensual)·        Seguro de vida (40 meses de sueldo)·        Utilidades·        Vale optométrico, descuentos con casas comerciales·        Seguro Social·        Capacitación pagadaInteresados postularse por este medio y en breve te contactáremos para entrevista.",Ventas,Comercial,Universitario sin titulo
